date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2023-03-20,wagholi,0,0.0,1.0,20.179166666666667,50.60416666666667,-1.3839285714285714,54,46.42857142857143,3.4285714285714284,31.6,17.3,0.0,4,8,1,0,0,0.9776530844816641,0.2102247521189836,0,2023
2023-03-21,wagholi,0,0.0,1.0,22.583333333333332,46.55654761904763,-4.047619047619047,57,49.57142857142857,3.142857142857143,31.2,18.4,0.0,5,8,1,0,0,0.981124629771712,0.19337647441020586,0,2023
2023-03-22,wagholi,0,0.0,1.0,20.837500000000002,42.15714285714286,-4.399404761904763,57,52.42857142857143,2.857142857142857,31.9,20.9,0.0,6,8,1,0,0,0.984305844499033,0.17647097349152166,0,2023
2023-03-23,wagholi,0,0.0,1.0,20.7625,37.71488095238095,-4.442261904761905,57,55.285714285714285,2.857142857142857,33.0,19.7,0.0,7,8,1,0,0,0.9871957872910085,0.15951325197263655,0,2023
2023-03-24,wagholi,0,0.0,1.0,17.474999999999998,33.27738095238095,-4.437499999999999,52,55.42857142857143,0.14285714285714285,34.8,23.2,0.0,8,8,1,0,0,0.9897936029670716,0.14250832791617088,0,2023
2023-03-25,wagholi,0,0.0,1.0,18.658333333333335,27.36428571428571,-5.913095238095238,50,54.714285714285715,-0.7142857142857143,34.6,19.9,0.0,9,8,1,0,0,0.992098522791769,0.12546123335273648,0,2023
2023-03-26,wagholi,0,0.0,1.0,24.3875,22.467261904761905,-4.89702380952381,44,54.57142857142857,-0.14285714285714285,34.3,18.0,0.0,10,8,1,0,0,0.9941098647022418,0.10837701279187609,0,2023
2023-03-27,wagholi,0,0.0,1.0,28.775000000000002,20.697619047619046,-1.769642857142857,52,53.0,-1.5714285714285714,34.6,16.9,0.0,11,8,1,0,0,0.9958270335100595,0.09126072172931188,0,2023
2023-03-28,wagholi,0,0.0,1.0,34.17916666666667,21.925595238095237,1.2279761904761908,51,52.714285714285715,-0.2857142857142857,35.0,15.1,0.0,12,8,1,0,0,0.9972495210773451,0.07411742515094437,0,2023
2023-03-29,wagholi,0,0.0,1.0,39.56666666666667,23.582142857142856,1.6565476190476194,51,51.857142857142854,-0.8571428571428571,36.6,21.1,0.0,13,8,1,0,0,0.998376906467142,0.056952196034039754,0,2023
2023-03-30,wagholi,0,0.0,1.0,35.55416666666667,26.257738095238096,2.675595238095238,60,51.0,-0.8571428571428571,33.7,19.2,0.0,14,8,1,0,0,0.9992088560679753,0.03977011384605572,0,2023
2023-03-31,wagholi,0,0.0,1.0,25.354166666666668,28.370833333333334,2.113095238095238,59,51.42857142857143,0.42857142857142855,32.2,20.5,0.0,15,8,1,0,0,0.9997451236925734,0.022576263041545485,0,2023
2023-04-01,wagholi,0,0.0,1.0,22.791666666666668,29.49642857142857,1.1255952380952385,51,52.42857142857143,1.0,34.3,18.4,0.0,16,8,1,0,0,0.9999855506507186,0.005375731557583884,0,2023
2023-04-02,wagholi,0,0.0,1.0,24.058333333333334,30.086904761904766,0.5904761904761904,57,52.57142857142857,0.14285714285714285,34.8,18.9,0.0,17,8,1,0,0,0.9999300657962057,-0.011826390691832589,0,2023
2023-04-03,wagholi,0,0.0,1.0,26.733333333333334,30.03988095238096,-0.04702380952380939,58,54.42857142857143,1.8571428571428572,35.2,18.4,0.0,18,8,1,0,0,0.9995786855478958,-0.029025013321975237,0,2023
2023-04-04,wagholi,0,0.0,1.0,27.90416666666667,29.748214285714287,-0.29166666666666685,55,55.285714285714285,0.8571428571428571,36.5,20.5,0.0,19,8,1,0,0,0.9989315138848577,-0.046215046983708354,0,2023
2023-04-05,wagholi,0,0.0,1.0,31.329166666666666,28.851785714285715,-0.8964285714285712,47,55.857142857142854,0.5714285714285714,37.5,22.6,0.0,20,8,1,0,0,0.9979887423155984,-0.06339140486951038,0,2023
2023-04-06,wagholi,0,0.0,1.0,24.491666666666664,27.675000000000004,-1.176785714285715,36,55.285714285714285,-0.5714285714285714,37.2,16.9,0.0,21,8,1,0,0,0.9967506498213929,-0.08054900421874167,0,2023
2023-04-07,wagholi,0,0.0,1.0,30.729166666666668,26.094642857142855,-1.5803571428571435,43,51.857142857142854,-3.4285714285714284,36.3,19.5,0.1,22,8,1,0,0,0.9952176027737294,-0.09768276782171598,0,2023
2023-04-08,wagholi,0,0.0,1.0,41.041666666666664,26.862500000000004,0.7678571428571429,58,49.57142857142857,-2.2857142857142856,32.7,21.8,2.2,0,8,1,0,0,0.9933900548258936,-0.11478762552212701,0,2023
2023-04-09,wagholi,0,0.0,1.0,38.57083333333333,29.469642857142855,2.6071428571428568,55,50.57142857142857,1.0,36.0,15.0,7.5,0,8,1,0,0,0.9912685467787256,-0.13185851571739118,0,2023
2023-04-10,wagholi,0,0.0,1.0,26.745833333333334,31.54285714285714,2.0732142857142857,45,50.285714285714285,-0.2857142857142857,36.0,13.5,0.0,1,8,1,0,0,0.9888537064205885,-0.1488903868564548,0,2023
